,Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
0,2020-11-09,United Kingdom,2020-11-10 05:40:07,52.3555,-1.1743,1034708,43366,0.0,991342.0,"England, United Kingdom",1848.4454384999606,4.191134117064912
1,2020-11-10,United Kingdom,2020-11-11 05:25:30,52.3555,-1.1743,1053330,43826,0.0,1009504.0,"England, United Kingdom",1881.7125543971474,4.160709369333446
2,2020-11-11,United Kingdom,2020-11-12 05:25:55,52.3555,-1.1743,1073300,44304,0.0,1028996.0,"England, United Kingdom",1917.3877936016806,4.127830056834063
3,2020-11-12,United Kingdom,2020-11-13 05:25:30,52.3555,-1.1743,1104143,44773,0.0,1059370.0,"England, United Kingdom",1972.4870125694033,4.055000122266772
4,2020-11-13,United Kingdom,2020-11-14 05:25:37,52.3555,-1.1743,1128683,45053,0.0,1083630.0,"England, United Kingdom",2016.3262899894958,3.991643357789565
5,2020-11-14,United Kingdom,2020-11-15 05:26:53,52.3555,-1.1743,1152981,45449,0.0,1107532.0,"England, United Kingdom",2059.7332485369047,3.941868946669546
6,2020-11-15,United Kingdom,2020-11-16 05:25:57,52.3555,-1.1743,1174979,45592,0.0,1129387.0,"England, United Kingdom",2099.031391352193,3.8802395617283367
7,2020-11-16,United Kingdom,2020-11-17 05:25:54,52.3555,-1.1743,1194402,45783,0.0,1148619.0,"England, United Kingdom",2133.7294469891312,3.833131558721436
8,2020-11-17,United Kingdom,2020-11-18 05:40:31,52.3555,-1.1743,1211951,46301,0.0,1165650.0,"England, United Kingdom",2165.079711025204,3.8203689753133583
9,2020-11-18,United Kingdom,2020-11-19 05:25:23,52.3555,-1.1743,1229140,46724,0.0,1182416.0,"England, United Kingdom",2195.786856077117,3.8013570463901587
10,2020-11-19,United Kingdom,2020-11-20 05:26:28,52.3555,-1.1743,1249431,47140,0.0,1202291.0,"England, United Kingdom",2232.0355430425243,3.772917432015053
11,2020-11-20,United Kingdom,2020-11-21 05:25:51,52.3555,-1.1743,1267276,47576,0.0,1219700.0,"England, United Kingdom",2263.914593798904,3.754194035079967
12,2020-11-21,United Kingdom,2020-11-22 05:25:45,52.3555,-1.1743,1284891,47842,0.0,1237049.0,"England, United Kingdom",2295.3827629820707,3.723428679942501
13,2020-11-22,United Kingdom,2020-11-23 05:25:26,52.3555,-1.1743,1301559,48212,0.0,1253347.0,"England, United Kingdom",2325.159171948579,3.7041732261080753
14,2020-11-23,United Kingdom,2020-11-24 05:27:31,52.3555,-1.1743,1314888,48406,0.0,1266482.0,"England, United Kingdom",2348.970652337023,3.681378185822671
15,2020-11-24,United Kingdom,2020-11-25 05:27:20,52.3555,-1.1743,1324742,48941,0.0,1275801.0,"England, United Kingdom",2366.5742480867207,3.6943797358278063
16,2020-11-25,United Kingdom,2020-11-26 05:27:44,52.3555,-1.1743,1340635,49545,0.0,1291090.0,"England, United Kingdom",2394.9661647956673,3.6956367691429812
17,2020-11-26,United Kingdom,2020-11-27 05:26:53,52.3555,-1.1743,1355272,49956,0.0,1305316.0,"England, United Kingdom",2421.114310826551,3.6860497376172456
18,2020-11-27,United Kingdom,2020-11-28 05:25:50,52.3555,-1.1743,1367546,50407,0.0,1317139.0,"England, United Kingdom",2443.0410953030882,3.685945481907007
19,2020-11-28,United Kingdom,2020-11-29 05:25:55,52.3555,-1.1743,1380869,50804,0.0,1330065.0,"England, United Kingdom",2466.841857041796,3.6791324883098975
20,2020-11-29,United Kingdom,2020-11-30 05:26:13,52.3555,-1.1743,1390923,50998,0.0,1339925.0,"England, United Kingdom",2484.802741116026,3.666486210954884
21,2020-11-30,United Kingdom,2020-12-01 05:26:18,52.3555,-1.1743,1401792,51187,0.0,1350605.0,"England, United Kingdom",2504.219575112725,3.6515403141122222
22,2020-12-01,United Kingdom,2020-12-02 05:27:41,52.3555,-1.1743,1413410,51718,0.0,1361692.0,"England, United Kingdom",2524.9744538847963,3.6590939642425058
23,2020-12-02,United Kingdom,2020-12-03 05:28:22,52.3555,-1.1743,1426733,52273,0.0,1374460.0,"England, United Kingdom",2548.775215623504,3.663824976362081
24,2020-12-03,United Kingdom,2020-12-04 05:27:27,52.3555,-1.1743,1438725,52601,0.0,1386124.0,"England, United Kingdom",2570.1982235624505,3.6560843802672505
25,2020-12-04,United Kingdom,2020-12-05 05:27:36,52.3555,-1.1743,1452137,53025,0.0,1399112.0,"England, United Kingdom",2594.157978605575,3.651514974138115
26,2020-12-05,United Kingdom,2020-12-06 05:26:18,52.3555,-1.1743,1464803,53369,0.0,1411434.0,"England, United Kingdom",2616.785048198195,3.643425088561397
27,2020-12-06,United Kingdom,2020-12-07 05:26:14,52.3555,-1.1743,1479097,53570,0.0,1425527.0,"England, United Kingdom",2642.3204447525063,3.621804384702288
28,2020-12-07,United Kingdom,2020-12-08 05:27:42,52.3555,-1.1743,1490720,53747,0.0,1436973.0,"England, United Kingdom",2663.084255732691,3.605438982505098
29,2020-12-08,United Kingdom,2020-12-09 05:28:01,52.3555,-1.1743,1501179,54285,0.0,1446894.0,"England, United Kingdom",2681.768648664099,3.6161577000477614
30,2020-12-09,United Kingdom,2020-12-10 05:26:19,52.3555,-1.1743,1514139,54736,0.0,1459403.0,"England, United Kingdom",2704.920932093781,3.6149917543897887
31,2020-12-10,United Kingdom,2020-12-11 05:26:59,52.3555,-1.1743,1531761,55155,0.0,1476606.0,"England, United Kingdom",2736.401606368307,3.600757559436492
32,2020-12-11,United Kingdom,2020-12-12 05:26:19,52.3555,-1.1743,1549660,55508,0.0,1494152.0,"England, United Kingdom",2768.37712497231,3.5819470077307276
33,2020-12-12,United Kingdom,2020-12-13 05:27:20,52.3555,-1.1743,1567128,55948,0.0,1511180.0,"England, United Kingdom",2799.5826872369457,3.570097656349705
34,2020-12-13,United Kingdom,2020-12-14 05:26:27,52.3555,-1.1743,1584292,56086,0.0,1528206.0,"England, United Kingdom",2830.245171248294,3.54013022851848
35,2020-12-14,United Kingdom,2020-12-15 05:26:38,52.3555,-1.1743,1602174,56280,0.0,1545894.0,"England, United Kingdom",2862.190320344712,3.512727082077228
36,2020-12-15,United Kingdom,2020-12-16 05:28:04,52.3555,-1.1743,1618678,56747,0.0,1561931.0,"England, United Kingdom",2891.673752885103,3.5057621095733684
37,2020-12-16,United Kingdom,2020-12-17 05:28:12,52.3555,-1.1743,1642110,57284,0.0,1584826.0,"England, United Kingdom",2933.5336529872875,3.488438655144905
38,2020-12-17,United Kingdom,2020-12-18 05:28:18,52.3555,-1.1743,1664511,57722,0.0,1606789.0,"England, United Kingdom",2973.551731776509,3.4678052593224082
39,2020-12-18,United Kingdom,2020-12-19 05:27:52,52.3555,-1.1743,1688963,58125,0.0,1630838.0,"England, United Kingdom",3017.2338023338075,3.44146082537036
40,2020-12-19,United Kingdom,2020-12-20 05:27:32,52.3555,-1.1743,1711738,58566,0.0,1653172.0,"England, United Kingdom",3057.9200102899035,3.4214348223852014
41,2020-12-20,United Kingdom,2020-12-21 05:27:58,52.3555,-1.1743,1743893,58807,0.0,1685086.0,"England, United Kingdom",3115.363040666557,3.3721679025031928
42,2020-12-21,United Kingdom,2020-12-22 05:22:33,52.3555,-1.1743,1772635,59005,0.0,1713630.0,"England, United Kingdom",3166.7089457850707,3.3286604405306224
43,2020-12-22,United Kingdom,2020-12-23 05:22:03,52.3555,-1.1743,1804923,59613,0.0,1745310.0,"England, United Kingdom",3224.389572897537,3.302800174855105
44,2020-12-23,United Kingdom,2020-12-24 05:23:04,52.3555,-1.1743,1839170,60238,0.0,1778932.0,"England, United Kingdom",3285.5698391487963,3.2752817847181066
45,2020-12-24,United Kingdom,2020-12-25 05:22:48,52.3555,-1.1743,1874731,60706,0.0,1814025.0,"England, United Kingdom",3349.097489692232,3.238117895314048
46,2020-12-25,United Kingdom,2020-12-26 05:22:28,52.3555,-1.1743,1906291,61276,0.0,1845015.0,"England, United Kingdom",3405.4775873034027,3.2144095523715954
47,2020-12-26,United Kingdom,2020-12-27 05:22:55,52.3555,-1.1743,1937598,61451,0.0,1876147.0,"England, United Kingdom",3461.4057151840393,3.1715040994055532
48,2020-12-27,United Kingdom,2020-12-28 05:22:06,52.3555,-1.1743,1963217,61697,0.0,1901520.0,"England, United Kingdom",3507.1725631149825,3.142648010892326
49,2020-12-28,United Kingdom,2020-12-29 05:22:37,52.3555,-1.1743,1999728,62019,0.0,1937709.0,"England, United Kingdom",3572.397333199945,3.1013717865629724
50,2020-12-29,United Kingdom,2020-12-30 05:22:34,52.3555,-1.1743,2046892,62379,0.0,1984513.0,"England, United Kingdom",3656.6530658911133,3.0474983536014597
51,2020-12-30,United Kingdom,2020-12-31 05:22:49,52.3555,-1.1743,2090446,63298,0.0,2027148.0,"England, United Kingdom",3734.4597443244734,3.0279662808797743
52,2020-12-31,United Kingdom,2021-01-01 05:23:07,52.3555,-1.1743,2139956,64118,0.0,2075838.0,"England, United Kingdom",3822.906469062404,2.9962298290245215
53,2021-01-01,United Kingdom,2021-01-02 05:22:33,52.3555,-1.1743,2190702,64731,0.0,2125971.0,"England, United Kingdom",3913.561235645942,2.9548062675799813
54,2021-01-02,United Kingdom,2021-01-03 05:22:52,52.3555,-1.1743,2239950,65080,0.0,2174870.0,"England, United Kingdom",4001.539912678733,2.9054219960266967
55,2021-01-03,United Kingdom,2021-01-04 05:22:02,52.3555,-1.1743,2286803,65472,0.0,2221331.0,"England, United Kingdom",4085.2400620252533,2.8630363000223458
56,2021-01-04,United Kingdom,2021-01-05 05:21:49,52.3555,-1.1743,2339983,65842,0.0,2274141.0,"England, United Kingdom",4180.243027518347,2.813781125760315
57,2021-01-05,United Kingdom,2021-01-06 05:22:16,52.3555,-1.1743,2394923,66626,0.0,2328297.0,"England, United Kingdom",4278.390130267323,2.7819683555588215
58,2021-01-06,United Kingdom,2021-01-07 05:22:03,52.3555,-1.1743,2450983,67510,0.0,2383473.0,"England, United Kingdom",4378.5380476336795,2.7544050693130058
59,2021-01-07,United Kingdom,2021-01-08 05:22:42,52.3555,-1.1743,2497824,68514,0.0,2429310.0,"England, United Kingdom",4462.2167596807285,2.742947461470464
60,2021-01-08,United Kingdom,2021-01-09 05:22:18,52.3555,-1.1743,2559581,69670,0.0,2489911.0,"England, United Kingdom",4572.542034971381,2.7219298783668107
61,2021-01-09,United Kingdom,2021-01-10 05:22:12,52.3555,-1.1743,2613838,70541,0.0,2543297.0,"England, United Kingdom",4669.468998092078,2.6987517971657
