Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2020-11-09,3,0,3.0,0.0,19.99733368884149,0.0
2020-11-09,214,9,182.0,23.0,343.6481300081897,4.205607476635514
2020-11-09,71,1,70.0,0.0,234.8116545953633,1.408450704225352
2020-11-09,250,1,236.0,13.0,380.4017041996348,0.4
2020-11-09,951,48,766.0,137.0,557.7745324019496,5.047318611987381
2020-11-09,1034708,43366,0.0,991342.0,1848.4454384999608,4.191134117064912
2020-11-09,13,0,13.0,0.0,373.2414585127763,0.0
2020-11-09,805,0,692.0,113.0,2389.362144192811,0.0
2020-11-09,357,25,329.0,3.0,419.8419418571832,7.002801120448179
2020-11-09,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
2020-11-09,43388,791,0.0,42597.0,2305.9098639455788,1.8230847238867889
2020-11-09,2,0,2.0,0.0,,
2020-11-09,74355,3040,0.0,71315.0,1360.9906100708365,4.088494385044718
2020-11-09,707,6,695.0,6.0,1826.024071491296,0.8486562942008486
2020-11-09,0,0,0.0,0.0,,
2020-11-09,60912,2041,0.0,58871.0,1940.7379086216783,3.35073548726031
2020-11-10,3,0,3.0,0.0,19.99733368884149,0.0
2020-11-10,214,9,182.0,23.0,343.6481300081897,4.205607476635514
2020-11-10,71,1,70.0,0.0,234.8116545953633,1.408450704225352
2020-11-10,253,1,236.0,16.0,384.9665246500304,0.3952569169960474
2020-11-10,972,48,766.0,158.0,570.0913201836961,4.938271604938271
2020-11-10,1053330,43826,0.0,1009504.0,1881.7125543971476,4.160709369333447
2020-11-10,13,0,13.0,0.0,373.2414585127763,0.0
2020-11-10,814,0,702.0,112.0,2416.07550978006,0.0
2020-11-10,359,25,329.0,5.0,422.19399755386206,6.963788300835654
2020-11-10,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
2020-11-10,43902,802,0.0,43100.0,2333.2270408163267,1.826796045738235
2020-11-10,2,0,2.0,0.0,,
2020-11-10,75187,3079,0.0,72108.0,1376.2195010341736,4.095122827084469
2020-11-10,711,6,695.0,10.0,1836.3551836355184,0.8438818565400844
2020-11-10,0,0,0.0,0.0,,
2020-11-10,61356,2063,0.0,59293.0,1954.8843433377936,3.362344351000717
2020-11-11,3,0,3.0,0.0,19.99733368884149,0.0
2020-11-11,214,9,182.0,23.0,343.6481300081897,4.205607476635514
2020-11-11,71,1,70.0,0.0,234.8116545953633,1.408450704225352
2020-11-11,253,1,236.0,16.0,384.9665246500304,0.3952569169960474
2020-11-11,986,48,766.0,172.0,578.3025120381938,4.8681541582150105
2020-11-11,1073300,44304,0.0,1028996.0,1917.3877936016809,4.127830056834063
2020-11-11,14,0,13.0,1.0,401.952339936836,0.0
2020-11-11,842,1,712.0,129.0,2499.183758273723,0.1187648456057007
2020-11-11,361,25,329.0,7.0,424.546053250541,6.925207756232687
2020-11-11,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
2020-11-11,44693,810,0.0,43883.0,2375.265731292517,1.81236435235943
2020-11-11,2,0,2.0,0.0,,
2020-11-11,76448,3143,0.0,73305.0,1399.3007889004816,4.11129133528673
2020-11-11,716,6,695.0,15.0,1849.269073815796,0.8379888268156425
2020-11-11,0,0,0.0,0.0,,
2020-11-11,62284,2108,0.0,60176.0,1984.451666348053,3.3844968210134225
2020-11-12,3,0,3.0,0.0,19.99733368884149,0.0
2020-11-12,220,9,188.0,23.0,353.2831243074848,4.090909090909091
2020-11-12,71,1,70.0,0.0,234.8116545953633,1.408450704225352
2020-11-12,253,1,236.0,16.0,384.9665246500304,0.3952569169960474
2020-11-12,1003,48,766.0,189.0,588.2732450043695,4.785643070787637
2020-11-12,1104143,44773,0.0,1059370.0,1972.4870125694035,4.055000122266772
2020-11-12,14,0,13.0,1.0,401.952339936836,0.0
2020-11-12,864,1,719.0,144.0,2564.4830963758877,0.1157407407407407
2020-11-12,363,25,329.0,9.0,426.89810894721984,6.887052341597796
2020-11-12,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
2020-11-12,45241,825,0.0,44416.0,2404.389880952381,1.823567118321876
2020-11-12,2,0,2.0,0.0,,
2020-11-12,77660,3188,0.0,74472.0,1421.4851829480351,4.105073396858099
2020-11-12,716,6,695.0,15.0,1849.269073815796,0.8379888268156425
2020-11-12,0,0,0.0,0.0,,
2020-11-12,63151,2142,0.0,61009.0,2012.07544765182,3.391870279172143
2020-11-13,3,0,3.0,0.0,19.99733368884149,0.0
2020-11-13,222,9,189.0,24.0,356.4947890739165,4.054054054054054
2020-11-13,71,1,70.0,0.0,234.8116545953633,1.408450704225352
2020-11-13,253,1,236.0,16.0,384.9665246500304,0.3952569169960474
