Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2020-11-09,1034708,43366,0.0,991342.0,1848.4454384999608,4.191134117064912
2020-11-10,1053330,43826,0.0,1009504.0,1881.7125543971476,4.160709369333447
2020-11-11,1073300,44304,0.0,1028996.0,1917.3877936016809,4.127830056834063
2020-11-12,1104143,44773,0.0,1059370.0,1972.4870125694035,4.055000122266772
2020-11-13,1128683,45053,0.0,1083630.0,2016.326289989496,3.991643357789565
2020-11-14,1152981,45449,0.0,1107532.0,2059.7332485369047,3.941868946669546
2020-11-15,1174979,45592,0.0,1129387.0,2099.031391352193,3.880239561728337
2020-11-16,1194402,45783,0.0,1148619.0,2133.7294469891312,3.833131558721436
2020-11-17,1211951,46301,0.0,1165650.0,2165.079711025204,3.8203689753133583
2020-11-18,1229140,46724,0.0,1182416.0,2195.786856077117,3.801357046390159
2020-11-19,1249431,47140,0.0,1202291.0,2232.0355430425243,3.772917432015053
2020-11-20,1267276,47576,0.0,1219700.0,2263.914593798904,3.754194035079967
2020-11-21,1284891,47842,0.0,1237049.0,2295.3827629820707,3.723428679942501
2020-11-22,1301559,48212,0.0,1253347.0,2325.159171948579,3.704173226108075
2020-11-23,1314888,48406,0.0,1266482.0,2348.970652337023,3.681378185822671
2020-11-24,1324742,48941,0.0,1275801.0,2366.5742480867207,3.6943797358278063
2020-11-25,1340635,49545,0.0,1291090.0,2394.9661647956677,3.695636769142981
2020-11-26,1355272,49956,0.0,1305316.0,2421.114310826551,3.6860497376172456
2020-11-27,1367546,50407,0.0,1317139.0,2443.041095303088,3.685945481907007
2020-11-28,1380869,50804,0.0,1330065.0,2466.841857041796,3.6791324883098975
2020-11-29,1390923,50998,0.0,1339925.0,2484.802741116026,3.666486210954884
2020-11-30,1401792,51187,0.0,1350605.0,2504.219575112725,3.6515403141122222
2020-12-01,1413410,51718,0.0,1361692.0,2524.9744538847963,3.6590939642425058
2020-12-02,1426733,52273,0.0,1374460.0,2548.775215623504,3.663824976362081
2020-12-03,1438725,52601,0.0,1386124.0,2570.1982235624505,3.6560843802672505
